Req_ID,File_ID,File_Size
170658953,6408056,147
170659578,10896828,519
170659750,1674185,3629
170660904,1674185,3629
170661633,13676719,11141
170663374,9149427,654
170663589,5044209,29158
170664259,7405732,1564
170664608,13858402,14659
170665579,11561518,222
170665988,3920523,26770
170666488,2009339,12904
170666533,1661128,7740
170667006,6408056,147
170667487,6237498,19794
170667855,14719 88,99
170668552,3934361,1467
170669172,5619462,5069
170669335,7955606,196
170669628,7405732,1564
170670217,12147501,9348
170670374,2897514,1417
170671107,1674185,3629
170671599,9742976,1715
170672001,9284471,15580
170672930,9284471,15580
170673005,3920523,26770
170673804,1674185,3629
170673907,11753447,1822
170673957,9742976,1715
170675025,3793473,12247
170675320,6408056,147
170677495,1674185,3629
170678824,12434132,19517
170679425,1674185,3629
170679573,9477153,11415
170680187,11753447,1822
170680854,7405732,1564
170680976,6941604,8963
170683123,10896828,519
170683197,4105358,19001
170684694,9322231,5295
170686745,13621708,2134
170686934,2400452,7514
170686956,7622199,140
170686966,6408056,147
170687099,12998347,215
170687414,7040763,684
170687746,6408056,147
170688774,9742976,1715
170689170,12393020,14488
170689388,1576754,49095
170689847,6408056,147
170690958,3784381,6869
170691022,9409931,12367
170692944,5633853,4700
170692979,4982116,14038
170693651,6862099,8217
170693788,6408056,147
170694815,6408056,147
170695315,1674185,3629
170695400,4985312,642
170696000,4380751,11118
170698121,7872061,45041
170699259,11753447,1822
170699494,7789269,22125
170700138,6408056,147
170700170,601936 6,242
170701489,6237498,19794
170701953,4781590,509
170702884,7955606,196
170704166,6974394,312
170704624,1674185,3629
170705613,6408056,147
170705832,7040763,684
170706274,7040763,684
170706754,12434132,19517
170706863,6408056,147
170708180,10950790,10059
170708276,3674032,4420
170708334,7405732,1564
170709294,1674185,3629
170709475,1674185,3629
170711179,1674185,3629
170711293,797834 5,2258
170711354,2247727,8608
170711786,1674185,3629
170712689,3049843,348
170713376,12217889,10856
170713378,11502815,14537
170713898,9311239,8772
170714301,9284471,15580
170714929,1674185,3629
170714971,6408056,147
170715652,1674185,3629
170717329,3049843,348
170717876,1674185,3629
170718001,7622199,140
170718344,12437921,27000
170718930,11753447,1822
170719964,5619462,5069
170720089,12256868,15214
170720396,13264797,16412
170720743,12748148,9422
170723000,3934361,1467
170723115,7324153,5769
170723885,7955606,196
170724262,734642 2,819
170725436,10003775,2980
170725885,912219 1,3363
170726368,2897514,1417
170727473,1674185,3629
170727894,11753447,1822
170728969,7150142,42297
170729195,1674185,3629
170729911,11138810,14801
170730033,3934361,1467
170730916,2430867,19741
170731838,9742976,1715
170731955,6408056,147
170732039,955491 3,53
170732080,12437921,27000
170732583,7901138,122
170733115,3024395,584
170733979,2778357,122
170734032,13405977,36459
170734040,7405732,1564
170734233,5736358,4349
170735029,9149427,654
170736732,135478 2,250
170737307,13621708,2134
170737983,2279412,12855
170738492,7339909,36583
170738793,1303589,3515
170740856,733964 4,86
170741121,1674185,3629
170741608,6408056,147
170742465,12210037,29653
170743083,7405732,1564
170743468,7040763,684
170745371,1674185,3629
170745870,6408056,147
170745883,1674185,3629
170746177,2738854,11233
170748657,7405732,1564
170749136,6408056,147
170749513,6408056,147
170751124,3620662,597
170751473,7040763,684
170751636,6408056,147
170751999,9149427,654
170753191,1519687,13405
170753644,7622199,140
170754641,14719 88,99
170758644,6408056,147
170758796,12619826,513
170758818,8332110,107
170760957,12998347,215
